Feature,Coefficient,Odds_Ratio,Absolute_Coefficient
cat__City_Smith River,1.9723871834221385,7.187814656221538,1.9723871834221385
cat__City_Running Springs,1.895517530069889,6.6559921895279155,1.895517530069889
cat__City_Piru,1.578232447851933,4.846382003223116,1.578232447851933
cat__City_Emeryville,1.5727698774680725,4.819980476174358,1.5727698774680725
cat__City_Elk Grove,1.5442762014125773,4.684579707461871,1.5442762014125773
cat__City_San Dimas,1.5344885959347345,4.638952544038762,1.5344885959347345
cat__City_Vallecito,1.5015080440039177,4.488452753351989,1.5015080440039177
cat__City_Crockett,1.4896305105353906,4.4354563618002345,1.4896305105353906
cat__City_Lemoore,1.4357451175474372,4.20277540408838,1.4357451175474372
cat__City_Seeley,1.390846973206783,4.018251963878657,1.390846973206783
cat__City_Bradley,1.3878802067822569,4.006348415122285,1.3878802067822569
cat__City_Saint Helena,1.3282656493786433,3.7744914159705263,1.3282656493786433
cat__City_Atherton,1.3139181608761856,3.720723582802471,1.3139181608761856
cat__City_Palomar Mountain,1.31165676150494,3.7123190474189403,1.31165676150494
cat__City_Tujunga,1.303295144083627,3.681407471287919,1.303295144083627
cat__City_Imperial Beach,1.262627009543568,3.5346949786997417,1.262627009543568
cat__City_Olivehurst,1.2489630077777942,3.4867253749887483,1.2489630077777942
cat__City_Mckinleyville,1.2158329679063407,3.3731025806517136,1.2158329679063407
cat__City_Grizzly Flats,1.1913528876302928,3.2915312684258766,1.1913528876302928
cat__City_Lake City,1.1833208246737055,3.2651993733384406,1.1833208246737055
cat__City_Stanton,1.1692954804956766,3.219723481298491,1.1692954804956766
cat__City_Waterford,1.1305609507613898,3.097393498135088,1.1305609507613898
cat__City_Cardiff By The Sea,1.107095984625518,3.025559353465424,1.107095984625518
cat__City_Lotus,1.0948458656316336,2.988721983114312,1.0948458656316336
cat__City_Rodeo,1.091559200685703,2.978915180005175,1.091559200685703
cat__City_Seal Beach,1.082359727452773,2.951636397143972,1.082359727452773
cat__City_Brea,1.0795551816729754,2.9433699949128767,1.0795551816729754
cat__City_Santa Barbara,1.0696526713919021,2.9143670811043894,1.0696526713919021
cat__City_Duarte,1.0689489706430761,2.9123169602274612,1.0689489706430761
cat__City_Avenal,1.0622899976878253,2.892988346133715,1.0622899976878253
cat__City_Martinez,1.061736763160159,2.891388287737084,1.061736763160159
cat__City_Johannesburg,1.059024563419676,2.8835568901313886,1.059024563419676
cat__City_North Palm Springs,1.057256134794277,2.8784620318582994,1.057256134794277
cat__City_Pope Valley,1.0260018864201113,2.7898892129369344,1.0260018864201113
cat__City_Eldridge,1.0066664101206275,2.736463546009485,1.0066664101206275
cat__City_Truckee,1.0032009476333743,2.726996846962402,1.0032009476333743
cat__City_Emigrant Gap,0.9999448927532838,2.718132035559055,0.9999448927532838
cat__City_Redway,0.9953796643965902,2.7057514237754177,0.9953796643965902
cat__City_Lompoc,0.991815893467873,2.6961259072663606,0.991815893467873
cat__City_Delhi,0.9902205485351515,2.6918280856277517,0.9902205485351515
cat__City_Pleasant Grove,0.9902119896929132,2.691805046794427,0.9902119896929132
cat__City_Oceano,0.9868208755779535,2.6826922886397213,0.9868208755779535
cat__City_La Puente,0.9859837276323649,2.6804474180771334,0.9859837276323649
cat__City_Exeter,0.970653472138126,2.6396688459181887,0.970653472138126
cat__City_Boulder Creek,0.9651823236246113,2.62526626090306,0.9651823236246113
cat__City_San Jacinto,0.9636008919912848,2.621117862860679,0.9636008919912848
cat__City_Clarksburg,0.951404598954371,2.5893440962652665,0.951404598954371
cat__City_Crescent Mills,0.9505890809281539,2.587233300291752,0.9505890809281539
cat__City_Temecula,0.944349027341752,2.571139092440468,0.944349027341752
cat__City_Daly City,0.9264207211288517,2.525453678216191,0.9264207211288517
