,churn_probability,monthly_charges,revenue_at_risk
1827,0.9974273543718353,105.9,1267.5306819357284
1681,0.988684191329383,101.95,1209.5562396723672
731,0.9733333333333334,100.95,1179.096
684,0.9879762374974798,99.25,1176.6796988594983
1044,0.9294736842105262,105.3,1174.482947368421
886,1.0,95.1,1141.1999999999998
1818,0.9877644454962923,95.45,1131.3853958714533
978,0.9628070175438597,96.6,1116.085894736842
590,0.9044736842105262,102.45,1111.959947368421
3732,0.9733333333333334,91.45,1068.136
4845,0.9294736842105262,94.1,1049.5616842105262
2131,0.9294736842105262,89.15,994.350947368421
3025,0.7431485181485181,111.4,993.4409390609392
1203,0.9733333333333334,85.05,993.384
607,0.7736247086247086,106.7,990.5490769230769
4341,0.9733333333333334,84.05,981.704
637,0.7779623154623154,104.85,978.8321853146851
808,0.7736247086247086,105.35,978.0163566433566
2567,0.9733333333333334,83.25,972.36
3712,0.8894736842105264,90.75,968.6368421052633
