feature,mean_abs_shap,mean_shap,direction
num__Tenure_Months,0.916173502416431,0.050635838878129225,positive
cat__Dependents_Yes,0.5326855146045428,0.027138272214205058,positive
cat__Contract_Two year,0.3946270397641794,-0.056612147439227545,negative
cat__Internet_Service_Fiber optic,0.28161260897606544,-0.03657566177616858,negative
cat__Contract_One year,0.25564971676584486,0.05193714247383937,positive
num__Total_Charges,0.22549978950594254,-0.0177130758434849,negative
num__Monthly_Charges,0.17294123246711646,-0.011346973992531713,negative
cat__Payment_Method_Electronic check,0.16758320511430616,0.010108072591307207,positive
cat__Tech_Support_Yes,0.15947641333898502,0.01862026238812046,positive
cat__Paperless_Billing_Yes,0.15403891043260157,0.01757437270656471,positive
